roll,paper_code,scgpa,cgpa
20010104013,1800265518,7.29,7.84
20010104013,1800265817,6.77,7.65
20010104013,1800265988,7.04,7.57
20010104014,1800265270,5.71,7.03
20010104014,1800265518,5.96,6.97
20010104014,1800265817,5.38,6.69
20010104014,1800265988,6.43,6.75
20010104015,1800265270,6.38,7.71
20010104015,1800265518,7.54,7.9
20010104015,1800265600,7.5,7.99
20010104015,1800265817,6.65,7.68
20010104015,1800265988,7.3,7.63
20010104016,1800265270,7.08,8.13
20010104016,1800265518,7.63,8.03
20010104016,1800265817,7.27,7.9
20010104016,1800265988,7.57,7.85
20010104017,1800265270,6.67,7.97
20010104017,1800265518,8.21,8.21
20010104017,1800265600,7.67,8.21
20010104017,1800265817,7.15,8.03
20010104017,1800265988,7.78,7.99
20010104018,1800265270,4.17,6.5
20010104018,1800265340,7.04,7.26
20010104018,1800265518,5.25,6.55
20010104018,1800265600,5.67,6.87
20010104018,1800265817,1.08,5.59
20010104018,1800265821,5.67,6.87
20010104018,1800265985,5.67,6.87
20010104018,1800265987,3.08,5.94
20010104018,1800265988,4.17,5.66
20010104019,1800265270,6.5,7.69
20010104019,1800265518,6.92,7.54
20010104019,1800265817,4.04,6.93
20010104019,1800265988,6.17,7.04
20010104020,1800265270,3.88,5.92
20010104020,1800265340,4.96,6.58
20010104020,1800265518,2.71,5.39
20010104020,1800265600,4.38,6.04
20010104020,1800265817,2.35,4.93
20010104020,1800265821,4.88,6.16
20010104020,1800265822,2.71,5.48
20010104020,1800265988,5.61,5.23
20010104022,1800265270,2.88,5.56
20010104022,1800265340,4.0,6.43
20010104022,1800265518,3.21,5.25
20010104022,1800265599,4.0,6.43
20010104022,1800265817,0.92,4.81
20010104022,1800265820,4.0,6.43
20010104022,1800265821,4.63,5.99
20010104022,1800265822,4.21,5.64
20010104022,1800265984,5.08,6.81
20010104022,1800265985,4.63,6.28
20010104022,1800265986,4.21,5.87
20010104022,1800265988,4.35,5.22
20010104023,1800265270,6.92,7.66
20010104023,1800265518,7.63,7.66
20010104023,1800265817,7.12,7.56
20010104023,1800265988,7.43,7.54
20010104024,1800265270,5.33,7.26
20010104024,1800265518,7.0,7.3
20010104024,1800265817,6.5,7.28
20010104024,1800265821,6.58,7.56
20010104024,1800265988,6.39,7.16
20010104025,1800265270,5.92,7.6
20010104025,1800265518,7.67,7.76
20010104025,1800265817,5.0,7.28
20010104025,1800265988,6.91,7.37
20010104026,1800265270,5.46,7.36
20010104026,1800265518,7.25,7.48
20010104026,1800265600,6.21,7.54
20010104026,1800265817,7.27,7.45
20010104026,1800265988,8.04,7.53
20010104027,1800265270,8.21,8.7
20010104027,1800265518,8.54,8.67
20010104027,1800265817,8.19,8.59
20010104027,1800265988,8.57,8.58
20010104028,1800265270,4.25,6.91
20010104028,1800265518,6.58,7.14
20010104028,1800265600,5.75,7.28
20010104028,1800265817,4.5,6.68
20010104028,1800265821,5.75,7.28
20010104028,1800265985,6.5,7.46
20010104028,1800265988,7.61,7.03
20010104029,1800265270,6.08,7.89
20010104029,1800265518,7.46,7.95
20010104029,1800265817,6.65,7.72
20010104029,1800265988,7.91,7.75
20010104030,1800265270,6.33,7.74
20010104030,1800265518,7.21,7.86
20010104030,1800265600,7.46,8.02
20010104030,1800265817,5.96,7.53
20010104030,1800265988,5.3,7.39
20010104031,1800265270,5.92,7.33
20010104031,1800265518,6.92,7.42
20010104031,1800265600,6.79,7.54
20010104031,1800265817,6.58,7.27
20010104031,1800265988,7.09,7.25
20010104032,1800265270,2.29,4.13
20010104032,1800265340,3.08,4.73
20010104032,1800265518,1.38,3.59
20010104032,1800265597,5.71,5.63
20010104032,1800265599,3.08,4.73
20010104032,1800265817,0.96,3.24
20010104032,1800265819,5.88,5.71
20010104032,1800265820,3.54,4.95
20010104032,1800265988,4.78,3.44
20010104033,1800265270,4.96,7.0
20010104033,1800265518,5.79,7.06
20010104033,1800265600,6.46,7.37
20010104033,1800265817,3.35,6.55
20010104033,1800265988,5.48,6.71
20010104036,1800265270,5.63,7.33
